Beach_Code,Original_Beach_Name,API_Beach_Name,Match_Type,rating,user_ratings_total,API_lat,API_lng,Search_lat,Search_lng,types,vicinity
40,Aciddara,Spiaggia Aciddara,good_match_115pts_0.02km,35,357,380802933,135375608,3808036623,1353734493,"natural_feature, establishment","Spiaggia Aciddara, Santa Flavia"
149,Bagni della Regina Giovanna - Sorrento (Na),Capo di Sorrento,closest_beach_19pts_0.08km,47,153,4.06E+20,143512421,4063355879,1435122371,"tourist_attraction, point_of_interest, establishment",Sorrento
59,baia delle favole,Baia delle Favole,good_match_119pts_0.15km,45,419,442716398,93925571,4427072752,9391254298,"tourist_attraction, point_of_interest, establishment",Sestri Levante
123,Boschetto Steccato di Cutro,Spiaggia Libera Steccato di Cutro,good_match_70pts_0.48km,44,279,3.89E+20,169265829,3893462782,1693195671,"tourist_attraction, point_of_interest, establishment",Steccato di Cutro
105,Cala Santa Maria,Torre Cala Santa Maria,good_match_117pts_0.28km,4,9,38706884,131934442,3870891163,1319533405,"museum, tourist_attraction, point_of_interest, establishment","Via Torre S Maria, 7, Ustica"
142,Caletta Caretta,Punta Penna Grossa Beach,closest_beach_13pts_0.23km,44,1788,4.07E+19,17773937,4072236478,1777187437,"tourist_attraction, point_of_interest, establishment","Contrada Pennagrossa, Riserva Naturale di Torre Guaceto, Carovigno"
102,Caletta di Sant'Elia,Sant'Elia,good_match_107pts_0.28km,46,1065,3.81E+20,135377392,3809654187,1353882176,"tourist_attraction, point_of_interest, establishment","Via Sant'Elia, 97, Santa Flavia"
46,Capo Arena- budda beach,Buddha Beach,manually_corrected,43,487,3.99E+20,157849003,3987517777,157836628,"tourist_attraction, point_of_interest, establishment",Praia a Mare
139,Capocolonna,Spiaggia,manually_corrected,42,17,3.90E+20,1.72E+20,,,,
98,Capparrina,Bertolino Spiaggia Giache Bianche,manually_corrected,46,814,3.75E+21,1.30E+21,,,,
144,Castello di Santa Severa,Spiaggia di Santa Severa,manually_corrected,41,462,4.20E+19,1.20E+21,4201692123,1195644021,"tourist_attraction, point_of_interest, establishment","600, SS1 Km 52, Santa Severa"
