,Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,lat,lon,Date of collection,Period,length,Trash amount,Beach was cleaned,The last time that beach has been cleaned,The last time that was cleaned from another group,further from the reference point above 100 meters ,Trovato un animale abbandonato o morto,Numero di animali abbandonati o morti
0,40,Aciddara,Spiaggia Aciddara,3.5,357,38.08036623,13.53734493,12/05/2025,Spring 2025,"149,53",1794.0,True,,False,False,True,2.0
1,40,Aciddara,Spiaggia Aciddara,3.5,357,38.08036623,13.53734493,13/07/2025,Summer 2025,"149,53",236.0,True,12/04/2024,False,False,False,
2,40,Aciddara,Spiaggia Aciddara,3.5,357,38.08036623,13.53734493,30/12/2025,Winter 2025-2026,"149,53",552.0,False,13/07/2025,False,True,False,0.0
3,149,Bagni della Regina Giovanna - Sorrento (Na),Capo di Sorrento,4.7,153,40.63355879,14.35122371,14/12/2025,Winter 2025-2026,"9,39",738.0,True,,False,False,True,1.0
5,123,Boschetto Steccato di Cutro,Spiaggia Libera Steccato di Cutro,4.4,279,38.93462782,16.93195671,09/07/2025,Summer 2025,"35,21",418.0,True,18/07/2025,False,False,False,
6,123,Boschetto Steccato di Cutro,Spiaggia Libera Steccato di Cutro,4.4,279,38.93462782,16.93195671,05/09/2025,Autumn 2025,"35,21",181.0,True,,False,True,False,
7,105,Cala Santa Maria,Torre Cala Santa Maria,4.0,9,38.70891163,13.19533405,08/06/2025,Summer 2025,"70,84",138.0,True,14/03/2025,True,False,False,
8,142,Caletta Caretta,Punta Penna Grossa Beach,4.4,1788,40.72236478,17.77187437,07/07/2025,Summer 2025,"105,97",159.0,True,,False,True,False,
9,142,Caletta Caretta,Punta Penna Grossa Beach,4.4,1788,40.72236478,17.77187437,02/08/2025,Summer 2025,"105,97",65.0,True,,False,True,False,
10,102,Caletta di Sant'Elia,Sant'Elia,4.6,1065,38.09654187,13.53882176,22/05/2025,Spring 2025,"18,38",242.0,True,22/05/2025,False,False,False,
11,102,Caletta di Sant'Elia,Sant'Elia,4.6,1065,38.09654187,13.53882176,30/12/2025,Winter 2025-2026,"12,77",418.0,False,22/05/2025,False,False,False,
12,46,Capo Arena- budda beach,Buddha Beach,4.3,487,39.87517777,1.57836628,26/10/2025,Autumn 2025,"331,06",2375.0,True,26/10/2025,False,True,False,
13,144,Castello di Santa Severa,Spiaggia di Santa Severa,4.1,462,42.01692123,11.95644021,11/10/2025,Autumn 2025,"137,32",186.0,True,,False,False,False,
14,144,Castello di Santa Severa,Spiaggia di Santa Severa,4.1,462,42.01692123,11.95644021,16/11/2025,Autumn 2025,"137,32",220.0,True,11/10/2025,False,False,False,
15,144,Castello di Santa Severa,Spiaggia di Santa Severa,4.1,462,42.01692123,11.95644021,08/12/2025,Winter 2025-2026,"137,32",135.0,True,16/11/2025,False,False,False,
16,100,Caulonia,Spiaggia Rocco dei Matti,4.2,5,38.33758366,16.46034821,30/05/2025,Spring 2025,"101,21",216.0,True,29/04/2023,False,True,False,
17,100,Caulonia,Spiaggia Rocco dei Matti,4.2,5,38.33758366,16.46034821,11/10/2025,Autumn 2025,"101,21",208.0,True,11/10/2025,False,False,False,
18,97,Cipollazzo,Spiaggia di Cipollazzo,4.6,66,37.57328088,12.93836474,11/05/2025,Spring 2025,"800,75",28.0,True,11/05/2025,False,False,False,
19,97,Cipollazzo,Spiaggia di Cipollazzo,4.6,66,37.57328088,12.93836474,21/09/2025,Autumn 2025,"800,75",111.0,True,21/09/2025,False,False,False,
20,97,Cipollazzo,Spiaggia di Cipollazzo,4.6,66,37.57328088,12.93836474,30/11/2025,Autumn 2025,"800,75",85.0,True,30/11/2025,False,False,False,
21,94,Club Adriatico - Polignano a Mare,Spiaggia libera,5.0,9,41.02005106,17.18505156,06/07/2025,Summer 2025,"165,19",980.0,True,06/07/2025,False,False,False,
23,61,"da Marinella di Selinunte alla Foce del Fiume Belice, sponda destra e sinistra verso Menfi",Spiaggia La PINETA,4.4,421,37.58125831,12.85864681,15/09/2024,Autumn 2024,"2520,99",1148.0,True,15/09/2025,False,False,False,
24,36,Favignana,Spiaggia Praia,3.9,1677,37.92938738,12.32539415,05/05/2025,Spring 2025,"109,74",203.0,True,05/05/2024,False,True,False,
25,36,Favignana,Spiaggia Praia,3.9,1677,37.92938738,12.32539415,18/11/2025,Autumn 2025,"109,74",230.0,True,,False,False,False,
26,154,Foce del Savuto,Fiume Savuto,4.3,11,39.03850398,16.09786749,06/08/2025,Summer 2025,"1294,79",101.0,True,,False,False,False,0.0
27,154,Foce del Savuto,Fiume Savuto,4.3,11,39.03850398,16.09786749,11/11/2025,Autumn 2025,"1294,79",50.0,True,08/08/2025,False,False,False,0.0
29,27,Fungitedda,Spiaggia Funcitedda,4.7,45,37.36028621,13.34593821,10/12/2025,Winter 2025-2026,"74,59",134.0,False,15/09/2025,False,False,False,
30,134,Gizzeria Lido,Lido Gizzeria - Spiaggia libera,4.4,122,38.92817526,16.21443059,16/06/2025,Summer 2025,"108,1",200.0,True,16/06/2025,False,False,False,
31,134,Gizzeria Lido,Lido Gizzeria - Spiaggia libera,4.4,122,38.92817526,16.21443059,08/11/2025,Autumn 2025,"108,1",179.0,True,16/06/2025,True,False,False,
33,63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.66103311,17.96886921,17/02/2025,Winter 2024-2025,"221,25",687.0,True,,False,True,True,0.0
34,63,isola di Sant'Andrea,Isola Sant'Andrea,4.3,101,40.66103311,17.96886921,04/04/2025,Spring 2025,"221,25",1107.0,True,,False,True,True,1.0
